log10_mh_msun,log10_epsilon_lower,log10_epsilon_mid,log10_epsilon_upper,log10_mstar_over_mh_lower,log10_mstar_over_mh_mid,log10_mstar_over_mh_upper
9.133373,-5.506483,-3.852881,-2.199280,-6.283766,-4.630165,-2.976564
9.138359,-5.499692,-3.848596,-2.197500,-6.276976,-4.625880,-2.974784
9.143346,-5.492873,-3.844294,-2.195715,-6.270157,-4.621578,-2.972999
9.148332,-5.486027,-3.839976,-2.193925,-6.263310,-4.617259,-2.971208
9.153318,-5.479152,-3.835641,-2.192129,-6.256436,-4.612924,-2.969412
9.158305,-5.472251,-3.831289,-2.190327,-6.249534,-4.608573,-2.967611
9.163291,-5.465322,-3.826921,-2.188520,-6.242606,-4.604204,-2.965803
9.168277,-5.458367,-3.822536,-2.186706,-6.235650,-4.599820,-2.963990
9.173263,-5.451384,-3.818136,-2.184887,-6.228668,-4.595419,-2.962170
9.178250,-5.444376,-3.813718,-2.183061,-6.221660,-4.591002,-2.960344
9.183236,-5.437342,-3.809285,-2.181228,-6.214626,-4.586569,-2.958512
9.188222,-5.430282,-3.804835,-2.179389,-6.207566,-4.582119,-2.956672
9.193209,-5.423197,-3.800370,-2.177542,-6.200480,-4.577653,-2.954826
9.198195,-5.416086,-3.795888,-2.175689,-6.193370,-4.573171,-2.952973
9.203181,-5.408951,-3.791390,-2.173829,-6.186235,-4.568673,-2.951112
9.208168,-5.401791,-3.786876,-2.171961,-6.179075,-4.564159,-2.949244
9.213154,-5.394607,-3.782346,-2.170085,-6.171891,-4.559630,-2.947369
9.218140,-5.387399,-3.777800,-2.168202,-6.164682,-4.555084,-2.945485
9.223126,-5.380167,-3.773239,-2.166311,-6.157451,-4.550522,-2.943594
9.228113,-5.372912,-3.768662,-2.164411,-6.150195,-4.545945,-2.941695
9.233099,-5.365633,-3.764069,-2.162504,-6.142917,-4.541352,-2.939787
9.238085,-5.358332,-3.759460,-2.160588,-6.135616,-4.536743,-2.937871
9.243072,-5.351008,-3.754835,-2.158663,-6.128292,-4.532119,-2.935946
