z	kind	Muv	our_phi	inst_phi	ratio
12.5	dust	-17.488722	2.814834720412e-04	6.022164521380e-04	4.674124578328e-01
12.5	dust	-17.443609	2.967121303628e-04	6.318839108830e-04	4.695674715759e-01
12.5	dust	-17.398496	3.127646808747e-04	6.630129007855e-04	4.717324210496e-01
12.5	dust	-17.353383	3.296856973222e-04	6.956754223949e-04	4.739073520626e-01
12.5	dust	-17.308271	3.475221649544e-04	7.299470232795e-04	4.760923106352e-01
12.5	dust	-17.263158	3.663236109893e-04	7.659069727666e-04	4.782873429994e-01
12.5	dust	-17.218045	3.861422421382e-04	8.036384452901e-04	4.804924956008e-01
12.5	dust	-17.172932	4.070330895703e-04	8.432287127710e-04	4.827078150989e-01
12.5	dust	-17.127820	4.290541617197e-04	8.847693464750e-04	4.849333483683e-01
12.5	dust	-17.082707	4.522666053596e-04	9.283564288142e-04	4.871691424998e-01
12.5	dust	-17.037594	4.767348753911e-04	9.740907755839e-04	4.894152448013e-01
12.5	dust	-16.992481	5.025269138177e-04	1.022078169146e-03	4.916717027989e-01
12.5	dust	-16.947368	5.297143384025e-04	1.072429603103e-03	4.939385642375e-01
12.5	dust	-16.902256	5.583726415316e-04	1.125261539019e-03	4.962158770826e-01
12.5	dust	-16.857143	5.885813998377e-04	1.180696175797e-03	4.985036895205e-01
12.5	dust	-16.812030	6.204244951627e-04	1.238861732320e-03	5.008020499598e-01
12.5	dust	-16.766917	6.539903474761e-04	1.299892744017e-03	5.031110070322e-01
12.5	dust	-16.721805	6.873857535382e-04	1.357040261881e-03	5.065330578957e-01
12.5	dust	-16.676692	7.212366491064e-04	1.412401809753e-03	5.106455147013e-01
12.5	dust	-16.631579	7.567545607932e-04	1.470021876454e-03	5.147913598529e-01
12.5	dust	-16.586466	7.940215822239e-04	1.529992600074e-03	5.189708644247e-01
12.5	dust	-16.541353	8.331238497941e-04	1.592409877551e-03	5.231843016921e-01
12.5	dust	-16.496241	8.741517417597e-04	1.657373518015e-03	5.274319471489e-01
12.5	dust	-16.451128	9.172000871303e-04	1.724987402390e-03	5.317140785256e-01
12.5	dust	-16.406015	9.623683848508e-04	1.795359649507e-03	5.360309758075e-01
12.5	dust	-16.360902	1.009761033776e-03	1.868602788989e-03	5.403829212533e-01
12.5	dust	-16.315789	1.059487573972e-03	1.944833941198e-03	5.447701994132e-01
12.5	dust	-16.270677	1.111662939897e-03	2.024175004513e-03	5.491930971473e-01
12.5	dust	-16.225564	1.166407726055e-03	2.106752850257e-03	5.536519036452e-01
12.5	dust	-16.180451	1.223848465729e-03	2.192699525570e-03	5.581469104441e-01
12.5	dust	-16.135338	1.284117923441e-03	2.282152464561e-03	5.626784114480e-01
12.5	dust	-16.090226	1.347355401815e-03	2.375254708074e-03	5.672467029473e-01
12.5	dust	-16.045113	1.413707063550e-03	2.472155132419e-03	5.718520836379e-01
12.5	dust	-16.000000	1.483326269252e-03	2.573008687435e-03	5.764948546407e-01
12.5	dust	-15.954887	1.556373931901e-03	2.677976644265e-03	5.811753195213e-01
12.5	dust	-15.909774	1.633018888773e-03	2.787226853236e-03	5.858937843100e-01
12.5	dust	-15.864662	1.713438291678e-03	2.900934012264e-03	5.906505575217e-01
12.5	dust	-15.819549	1.788200548830e-03	3.016172629847e-03	5.928707565128e-01
