z_final	mh_final	bin_left	bin_right	bin_center	pdf
6.000000	1.000000e+08	-9.75385292	-9.57871578	-9.66628435	0.000000000000e+00
6.000000	1.000000e+08	-9.57871578	-9.40357864	-9.49114721	0.000000000000e+00
6.000000	1.000000e+08	-9.40357864	-9.22844150	-9.31601007	0.000000000000e+00
6.000000	1.000000e+08	-9.22844150	-9.05330436	-9.14087293	0.000000000000e+00
6.000000	1.000000e+08	-9.05330436	-8.87816721	-8.96573578	0.000000000000e+00
6.000000	1.000000e+08	-8.87816721	-8.70303007	-8.79059864	0.000000000000e+00
6.000000	1.000000e+08	-8.70303007	-8.52789293	-8.61546150	0.000000000000e+00
6.000000	1.000000e+08	-8.52789293	-8.35275579	-8.44032436	0.000000000000e+00
6.000000	1.000000e+08	-8.35275579	-8.17761864	-8.26518721	0.000000000000e+00
6.000000	1.000000e+08	-8.17761864	-8.00248150	-8.09005007	0.000000000000e+00
6.000000	1.000000e+08	-8.00248150	-7.82734436	-7.91491293	0.000000000000e+00
6.000000	1.000000e+08	-7.82734436	-7.65220722	-7.73977579	0.000000000000e+00
6.000000	1.000000e+08	-7.65220722	-7.47707007	-7.56463864	0.000000000000e+00
6.000000	1.000000e+08	-7.47707007	-7.30193293	-7.38950150	0.000000000000e+00
6.000000	1.000000e+08	-7.30193293	-7.12679579	-7.21436436	0.000000000000e+00
6.000000	1.000000e+08	-7.12679579	-6.95165865	-7.03922722	0.000000000000e+00
6.000000	1.000000e+08	-6.95165865	-6.77652150	-6.86409008	0.000000000000e+00
6.000000	1.000000e+08	-6.77652150	-6.60138436	-6.68895293	0.000000000000e+00
6.000000	1.000000e+08	-6.60138436	-6.42624722	-6.51381579	5.905745208329e-01
6.000000	1.000000e+08	-6.42624722	-6.25111008	-6.33867865	1.149021848493e+00
6.000000	1.000000e+08	-6.25111008	-6.07597293	-6.16354151	1.020987768373e+00
6.000000	1.000000e+08	-6.07597293	-5.90083579	-5.98840436	8.633328718526e-01
6.000000	1.000000e+08	-5.90083579	-5.72569865	-5.81326722	4.617619448971e-01
6.000000	1.000000e+08	-5.72569865	-5.55056151	-5.63813008	3.326265780134e-01
6.000000	1.000000e+08	-5.55056151	-5.37542437	-5.46299294	2.560111971318e-01
6.000000	1.000000e+08	-5.37542437	-5.20028722	-5.28785579	2.039469159974e-01
6.000000	1.000000e+08	-5.20028722	-5.02515008	-5.11271865	1.576738842233e-01
6.000000	1.000000e+08	-5.02515008	-4.85001294	-4.93758151	1.239896994193e-01
6.000000	1.000000e+08	-4.85001294	-4.67487580	-4.76244437	1.001791200821e-01
6.000000	1.000000e+08	-4.67487580	-4.49973865	-4.58730722	8.134331888397e-02
6.000000	1.000000e+08	-4.49973865	-4.32460151	-4.41217008	6.461515269892e-02
6.000000	1.000000e+08	-4.32460151	-4.14946437	-4.23703294	5.191237951185e-02
6.000000	1.000000e+08	-4.14946437	-3.97432723	-4.06189580	4.105141349840e-02
6.000000	1.000000e+08	-3.97432723	-3.79919008	-3.88675866	3.326645534191e-02
6.000000	1.000000e+08	-3.79919008	-3.62405294	-3.71162151	2.918409923545e-02
6.000000	1.000000e+08	-3.62405294	-3.44891580	-3.53648437	2.401944406821e-02
6.000000	1.000000e+08	-3.44891580	-3.27377866	-3.36134723	1.929150606585e-02
6.000000	1.000000e+08	-3.27377866	-3.09864151	-3.18621009	1.676614159070e-02
6.000000	1.000000e+08	-3.09864151	-2.92350437	-3.01107294	1.287366251245e-02
6.000000	1.000000e+08	-2.92350437	-2.74836723	-2.83593580	1.141160939525e-02
6.000000	1.000000e+08	-2.74836723	-2.57323009	-2.66079866	9.683728438568e-03
