log10_mpeak_msun,log10_mstar_median_msun,log10_mstar_lower_msun,log10_mstar_upper_msun,log10_mstar_over_mpeak_median,log10_mstar_over_mpeak_lower,log10_mstar_over_mpeak_upper
12.928000,10.862316,10.777866,10.946767,-2.065684,-2.150134,-1.981233
12.937333,10.867628,10.779156,10.956100,-2.069705,-2.158177,-1.981233
12.946667,10.868919,10.780447,10.957391,-2.077748,-2.166220,-1.989276
12.956000,10.874231,10.789780,10.958681,-2.081769,-2.166220,-1.997319
12.965333,10.879542,10.791071,10.968014,-2.085791,-2.174263,-1.997319
12.974667,10.884854,10.792361,10.977348,-2.089812,-2.182306,-1.997319
12.984000,10.894188,10.801694,10.986681,-2.089812,-2.182306,-1.997319
12.993333,10.895478,10.802985,10.987971,-2.097855,-2.190349,-2.005362
13.002667,10.888726,10.804275,10.973176,-2.113941,-2.198391,-2.029491
13.012000,10.885995,10.805566,10.966424,-2.126005,-2.206434,-2.045576
13.021333,10.891307,10.814899,10.967714,-2.130027,-2.206434,-2.053619
13.030667,10.896618,10.816189,10.977047,-2.134048,-2.214477,-2.053619
13.040000,10.901930,10.817480,10.986381,-2.138070,-2.222520,-2.053619
13.049333,10.911264,10.826813,10.995714,-2.138070,-2.222520,-2.053619
13.058667,10.912554,10.828104,10.997004,-2.146113,-2.230563,-2.061662
13.068000,10.909823,10.829394,10.990252,-2.158177,-2.238606,-2.077748
13.077333,10.911113,10.830685,10.991542,-2.166220,-2.246649,-2.085791
13.086667,10.916425,10.840018,10.992833,-2.170241,-2.246649,-2.093834
13.096000,10.917716,10.841308,10.994123,-2.178284,-2.254692,-2.101877
13.105333,10.923028,10.842599,11.003457,-2.182306,-2.262735,-2.101877
13.114667,10.928340,10.843889,11.012790,-2.186327,-2.270777,-2.101877
13.124000,10.937673,10.853223,11.022123,-2.186327,-2.270777,-2.101877
13.133333,10.942985,10.854513,11.031457,-2.190349,-2.278820,-2.101877
13.142667,10.944275,10.855803,11.032747,-2.198391,-2.286863,-2.109920
13.152000,10.949587,10.857094,11.042080,-2.202413,-2.294906,-2.109920
13.161333,10.958920,10.866427,11.051414,-2.202413,-2.294906,-2.109920
13.170667,10.952168,10.867718,11.036618,-2.218499,-2.302949,-2.134048
13.180000,10.949437,10.869008,11.029866,-2.230563,-2.310992,-2.150134
13.189333,10.946706,10.870298,11.023113,-2.242627,-2.319035,-2.166220
13.198667,10.956039,10.879632,11.032447,-2.242627,-2.319035,-2.166220
13.208000,10.961351,10.880922,11.041780,-2.246649,-2.327078,-2.166220
13.217333,10.962642,10.882213,11.043071,-2.254692,-2.335121,-2.174263
13.226667,10.967954,10.883503,11.052404,-2.258713,-2.343164,-2.174263
13.236000,10.977287,10.892836,11.061737,-2.258713,-2.343164,-2.174263
13.245333,10.974556,10.894127,11.054985,-2.270777,-2.351206,-2.190349
13.254667,10.975846,10.895417,11.056275,-2.278820,-2.359249,-2.198391
13.264000,10.969094,10.896708,11.041480,-2.294906,-2.367292,-2.222520
13.273333,10.974406,10.897998,11.050813,-2.298928,-2.375335,-2.222520
13.282667,10.983739,10.907332,11.060147,-2.298928,-2.375335,-2.222520
13.292000,10.985029,10.908622,11.061437,-2.306971,-2.383378,-2.230563
13.301333,10.990341,10.909912,11.070770,-2.310992,-2.391421,-2.230563
13.310667,10.979567,10.911203,11.047932,-2.331099,-2.399464,-2.262735
13.320000,10.980858,10.920536,11.041180,-2.339142,-2.399464,-2.278820
13.329333,10.982148,10.921827,11.042470,-2.347185,-2.407507,-2.286863
13.338667,10.987460,10.923117,11.051803,-2.351206,-2.415550,-2.286863
13.348000,10.988751,10.924408,11.053094,-2.359249,-2.423592,-2.294906
13.357333,10.994063,10.925698,11.062427,-2.363271,-2.431635,-2.294906
13.366667,11.003396,10.935031,11.071761,-2.363271,-2.431635,-2.294906
13.376000,11.000665,10.936322,11.065008,-2.375335,-2.439678,-2.310992
13.385333,11.005977,10.937612,11.074341,-2.379357,-2.447721,-2.310992
13.394667,11.011289,10.946945,11.075632,-2.383378,-2.447721,-2.319035
13.404000,11.016601,10.948236,11.084965,-2.387399,-2.455764,-2.319035
13.413333,11.017891,10.949526,11.086256,-2.395442,-2.463807,-2.327078
13.422667,11.019181,10.950817,11.087546,-2.403485,-2.471850,-2.335121
13.432000,11.008408,10.960150,11.056665,-2.423592,-2.471850,-2.375335
13.441333,11.013719,10.961441,11.065998,-2.427614,-2.479893,-2.375335
13.450667,11.019031,10.962731,11.075332,-2.431635,-2.487936,-2.375335
13.460000,11.024343,10.964021,11.084665,-2.435657,-2.495979,-2.375335
13.469333,11.021612,10.965312,11.077912,-2.447721,-2.504021,-2.391421
13.478667,11.022903,10.974645,11.071160,-2.455764,-2.504021,-2.407507
13.488000,11.024193,10.975936,11.072450,-2.463807,-2.512064,-2.415550
13.497333,11.029505,10.977226,11.081784,-2.467828,-2.520107,-2.415550
13.506667,11.034817,10.978517,11.091117,-2.471850,-2.528150,-2.415550
13.516000,11.036107,10.979807,11.092408,-2.479893,-2.536193,-2.423592
13.525333,11.041419,10.989140,11.093698,-2.483914,-2.536193,-2.431635
13.534667,11.042710,10.990431,11.094988,-2.491957,-2.544236,-2.439678
13.544000,11.048021,10.991721,11.104322,-2.495979,-2.552279,-2.439678
13.553333,11.053333,10.993012,11.113655,-2.500000,-2.560322,-2.439678
13.562667,11.054624,10.994302,11.114945,-2.508043,-2.568365,-2.447721
13.572000,11.055914,10.995592,11.116236,-2.516086,-2.576408,-2.455764
13.581333,11.061226,11.004926,11.117526,-2.520107,-2.576408,-2.463807
13.590667,11.062517,11.006216,11.118817,-2.528150,-2.584450,-2.471850
13.600000,11.063807,11.007507,11.120107,-2.536193,-2.592493,-2.479893
13.609333,11.069119,11.008797,11.129441,-2.540214,-2.600536,-2.479893
13.618667,11.074431,11.010088,11.138774,-2.544236,-2.608579,-2.479893
13.628000,11.083764,11.019421,11.148107,-2.544236,-2.608579,-2.479893
13.637333,11.072990,11.020711,11.125269,-2.564343,-2.616622,-2.512064
13.646667,11.078302,11.022002,11.134602,-2.568365,-2.624665,-2.512064
13.656000,11.079592,11.023292,11.135893,-2.576408,-2.632708,-2.520107
13.665333,11.072840,11.024583,11.121097,-2.592493,-2.640751,-2.544236
13.674667,11.074130,11.025873,11.122388,-2.600536,-2.648794,-2.552279
13.684000,11.079442,11.035206,11.123678,-2.604558,-2.648794,-2.560322
13.693333,11.076711,11.036497,11.116926,-2.616622,-2.656836,-2.576408
13.702667,11.082023,11.037787,11.126259,-2.620643,-2.664879,-2.576408
13.712000,11.083314,11.039078,11.127550,-2.628686,-2.672922,-2.584450
13.721333,11.084604,11.040368,11.128840,-2.636729,-2.680965,-2.592493
13.730667,11.089916,11.041659,11.138173,-2.640751,-2.689008,-2.592493
13.740000,11.095228,11.042949,11.147507,-2.644772,-2.697051,-2.592493
13.749333,11.100540,11.052282,11.148797,-2.648794,-2.697051,-2.600536
13.758667,11.105852,11.053573,11.158130,-2.652815,-2.705094,-2.600536
13.768000,11.111164,11.054863,11.167464,-2.656836,-2.713137,-2.600536
13.777333,11.112454,11.056154,11.168754,-2.664879,-2.721180,-2.608579
13.786667,11.117766,11.057444,11.178088,-2.668901,-2.729223,-2.608579
13.796000,11.111013,11.066777,11.155249,-2.684987,-2.729223,-2.640751
13.805333,11.112304,11.068068,11.156540,-2.693029,-2.737265,-2.648794
13.814667,11.109573,11.069358,11.149787,-2.705094,-2.745308,-2.664879
13.833333,11.112154,11.071939,11.152368,-2.721180,-2.761394,-2.680965
13.842667,11.113444,11.073230,11.153659,-2.729223,-2.769437,-2.689008
13.852000,11.114735,11.074520,11.154949,-2.737265,-2.777480,-2.697051
13.861333,11.116025,11.083853,11.148197,-2.745308,-2.777480,-2.713137
13.870667,11.117315,11.085144,11.149487,-2.753351,-2.785523,-2.721180
13.880000,11.122627,11.086434,11.158820,-2.757373,-2.793566,-2.721180
13.889333,11.123918,11.087725,11.160111,-2.765416,-2.801609,-2.729223
13.898667,11.125208,11.089015,11.161401,-2.773458,-2.809651,-2.737265
13.908000,11.134542,11.098349,11.170735,-2.773458,-2.809651,-2.737265
13.917333,11.135832,11.099639,11.172025,-2.781501,-2.817694,-2.745308
13.926667,11.137122,11.100929,11.173315,-2.789544,-2.825737,-2.753351
13.936000,11.142434,11.110263,11.174606,-2.793566,-2.825737,-2.761394
13.945333,11.143725,11.111553,11.175896,-2.801609,-2.833780,-2.769437
13.954667,11.149037,11.112844,11.185230,-2.805630,-2.841823,-2.769437
13.964000,11.154349,11.114134,11.194563,-2.809651,-2.849866,-2.769437
13.973333,11.155639,11.115424,11.195853,-2.817694,-2.857909,-2.777480
13.982667,11.160951,11.116715,11.205187,-2.821716,-2.865952,-2.777480
13.992000,11.154198,11.118005,11.190391,-2.837802,-2.873995,-2.801609
14.001333,11.159510,11.119296,11.199725,-2.841823,-2.882038,-2.801609
14.010667,11.164822,11.128629,11.201015,-2.845845,-2.882038,-2.809651
14.048000,11.202155,11.165962,11.238349,-2.845845,-2.882038,-2.809651
14.085333,11.235467,11.195253,11.275682,-2.849866,-2.890080,-2.809651
14.104000,11.254134,11.213920,11.294349,-2.849866,-2.890080,-2.809651
14.141333,11.291467,11.251253,11.331682,-2.849866,-2.890080,-2.809651
14.150667,11.300801,11.260586,11.341015,-2.849866,-2.890080,-2.809651
14.160000,11.269920,11.237748,11.302091,-2.890080,-2.922252,-2.857909
14.290667,11.380479,11.344286,11.416672,-2.910188,-2.946381,-2.873995
14.300000,11.369705,11.337534,11.401877,-2.930295,-2.962466,-2.898123
14.309333,11.346867,11.306652,11.387081,-2.962466,-3.002681,-2.922252
14.374667,11.331771,11.283514,11.380029,-3.042895,-3.091153,-2.994638
14.384000,11.337083,11.292847,11.381319,-3.046917,-3.091153,-3.002681
14.458667,11.391643,11.343385,11.439900,-3.067024,-3.115282,-3.018767
14.524000,11.452954,11.400676,11.505233,-3.071046,-3.123324,-3.018767
14.598667,11.519578,11.467299,11.571857,-3.079088,-3.131367,-3.026810
14.608000,11.516847,11.468590,11.565105,-3.091153,-3.139410,-3.042895
14.617333,11.489987,11.453794,11.526181,-3.127346,-3.163539,-3.091153
14.626667,11.491278,11.455085,11.527471,-3.135389,-3.171582,-3.099196
14.636000,11.383989,11.351818,11.416161,-3.252011,-3.284182,-3.219839
14.738667,11.426334,11.382098,11.470570,-3.312332,-3.356568,-3.268097
14.748000,11.431646,11.383389,11.479903,-3.316354,-3.364611,-3.268097
14.757333,11.440979,11.392722,11.489237,-3.316354,-3.364611,-3.268097
14.766667,11.446291,11.394013,11.498570,-3.320375,-3.372654,-3.268097
